BCL SCATTERING INPUT PARAMETERS: QValue Intensity Error
0.2545 11.41 1
0.2555 11.39 1
0.2564 11.37 1
0.2573 11.35 1
0.2583 11.33 1
0.2592 11.31 1
0.2601 11.29 1
0.2611 11.27 1
0.262 11.25 1
0.2629 11.23 1
0.2638 11.22 1
0.2648 11.2 1
0.2657 11.18 1
0.2666 11.16 1
0.2676 11.15 1
0.2685 11.13 1
0.2694 11.11 1
0.2704 11.1 1
0.2713 11.08 1
0.2722 11.06 1
0.2732 11.05 1
0.2741 11.03 1
0.275 11.01 1
0.276 11 1
0.2769 10.98 1
0.2778 10.96 1
0.2788 10.95 1
0.2797 10.93 1
0.2806 10.91 1
0.2816 10.9 1
0.2825 10.88 1
0.2834 10.86 1
0.2844 10.85 1
0.2853 10.83 1
0.2862 10.81 1
0.2872 10.8 1
0.2881 10.78 1
0.289 10.76 1
0.2899 10.75 1
0.2909 10.73 1
0.2918 10.72 1
0.2927 10.7 1
0.2937 10.68 1
0.2946 10.67 1
0.2955 10.65 1
0.2965 10.64 1
0.2974 10.62 1
0.2983 10.6 1
0.2993 10.59 1
0.3002 10.57 1
0.3011 10.55 1
0.3021 10.54 1
0.303 10.52 1
0.3039 10.5 1
0.3049 10.49 1
0.3058 10.47 1
0.3067 10.45 1
0.3077 10.43 1
0.3086 10.42 1
0.3095 10.4 1
0.3105 10.38 1
0.3114 10.36 1
0.3123 10.34 1
0.3132 10.32 1
0.3142 10.3 1
0.3151 10.28 1
0.316 10.26 1
0.317 10.24 1
0.3179 10.22 1
0.3188 10.2 1
0.3198 10.17 1
0.3207 10.15 1
0.3216 10.13 1
0.3226 10.1 1
0.3235 10.08 1
0.3244 10.05 1
0.3254 10.03 1
0.3263 9.999 1
0.3272 9.971 1
0.3282 9.943 1
0.3291 9.914 1
0.33 9.884 1
0.331 9.853 1
0.3319 9.822 1
0.3328 9.79 1
0.3338 9.757 1
0.3347 9.724 1
0.3356 9.689 1
0.3366 9.654 1
0.3375 9.618 1
0.3384 9.581 1
0.3393 9.544 1
0.3403 9.506 1
0.3412 9.467 1
0.3421 9.427 1
0.3431 9.387 1
0.344 9.346 1
0.3449 9.304 1
0.3459 9.262 1
0.3468 9.219 1
0.3477 9.175 1
0.3487 9.131 1
0.3496 9.086 1
